,id,party,name
142,185,Independent,"Corbyn, Jeremy"
143,4439,Conservative,"Costa, Alberto"
144,4589,Conservative,"Courts, Robert"
145,4806,Conservative,"Coutinho, Claire"
146,4465,Scottish National Party,"Cowan, Ronnie"
147,1508,Conservative,"Cox, Sir Geoffrey"
148,4368,Labour,"Coyle, Neil"
149,1554,Conservative,"Crabb, Stephen"
150,437,Labour,"Crausby, Sir David"
151,4469,Scottish National Party,"Crawley, Angela"
152,1579,Labour,"Creagh, Mary"
153,4088,Labour (Co-op),"Creasy, Ms Stella"
154,4859,Conservative,"Crosbie, Virginia"
155,3950,Conservative,"Crouch, Dame Tracey"
156,1406,Labour,"Cruddas, Jon"
157,181,Labour,"Cryer, John"
158,4391,Labour,"Cummins, Judith"
159,4122,Labour,"Cunningham, Alex"
160,308,Labour,"Cunningham, Mr Jim"
161,4698,Labour,"Daby, Janet"
162,4056,Labour,"Dakin, Sir Nicholas"
163,4981,Labour,"Dalton, Ashley"
164,4854,Conservative,"Daly, James"
165,188,Liberal Democrat,"Davey, Ed"
166,1398,Labour,"David, Wayne"
167,4376,Conservative,"Davies, Chris"
168,1545,Conservative,"Davies, David T C"
169,4850,Conservative,"Davies, Gareth"
170,155,Independent,"Davies, Geraint"
171,4041,Conservative,"Davies, Glyn"
172,4476,Conservative,"Davies, Dr James"
173,4513,Conservative,"Davies, Mims"
174,1565,Conservative,"Davies, Sir Philip"
175,4849,Labour,"Davies-Jones, Alex"
176,373,Conservative,"Davis, David"
177,4737,Conservative,"Davison, Dehenna"
178,4488,Scottish National Party,"Day, Martyn"
179,4676,Labour,"De Cordova, Marsha"
180,3915,Labour,"De Piero, Gloria"
181,4433,Labour,"Debbonaire, Thangam"
182,4683,Labour,"Dent Coad, Emma"
183,4638,Labour,"Dhesi, Mr Tanmanjeet Singh"
184,4008,Conservative,"Dinenage, Dame Caroline"
185,4816,Conservative,"Dines, Miss Sarah"
186,4976,Labour,"Dixon, Samantha"
187,1425,Conservative,"Djanogly, Mr Jonathan"
188,4600,Conservative,"Docherty, Leo"
189,4374,Scottish National Party,"Docherty-Hughes, Martin"
190,4657,Labour (Co-op),"Dodds, Anneliese"
191,4718,Liberal Democrat,"Dodds, Jane"
192,650,Independent,"Donaldson, Sir Jeffrey M"
193,4530,Conservative,"Donelan, Michelle"
194,4736,Scottish National Party,"Doogan, Dave"
195,4740,Scottish National Party,"Dorans, Allan"
196,1481,Conservative,"Dorries, Ms Nadine"
197,4452,Conservative,"Double, Steve"
198,4264,Labour (Co-op),"Doughty, Stephen"
199,4397,Labour,"Dowd, Peter"
200,4441,Conservative,"Dowden, Sir Oliver"
201,4065,Conservative,"Doyle-Price, Dame Jackie"
202,4132,Conservative,"Drax, Richard"
203,252,Labour (Co-op),"Drew, Dr David"
204,3913,Labour,"Dromey, Jack"
205,4459,Conservative,"Drummond, Mrs Flick"
206,1559,Conservative,"Duddridge, Sir James"
207,4616,Labour,"Duffield, Rosie"
208,4606,Conservative,"Duguid, David"
209,343,Conservative,"Duncan, Sir Alan"
210,152,Conservative,"Duncan Smith, Sir Iain"
211,1542,Conservative,"Dunne, Philip"
212,4995,Liberal Democrat,"Dyke, Sarah"
213,491,Labour,"Eagle, Dame Angela"
214,483,Labour,"Eagle, Maria"
215,4846,Social Democratic & Labour Party,"Eastwood, Colum"
216,4807,Conservative,"Eastwood, Mark"
217,3943,Independent,"Edwards, Jonathan"
218,4808,Conservative,"Edwards, Ruth"
219,5001,Labour,"Edwards, Sarah"
220,165,Labour,"Efford, Clive"
221,5010,Labour,"Egan, Damien"
222,4127,Labour,"Elliott, Julie"
223,4116,Conservative,"Ellis, Sir Michael"
224,484,Independent,"Ellman, Dame Louise"
225,1487,Conservative,"Ellwood, Mr Tobias"
226,4572,Labour,"Elmore, Chris"
227,3971,Independent,"Elphicke, Charlie"
228,4795,Labour,"Elphicke, Mrs Natalie"
229,4870,Labour (Co-op),"Eshalomi, Florence"
230,4061,Labour,"Esterson, Bill"
231,3934,Conservative,"Eustice, George"
232,4040,Labour (Co-op),"Evans, Chris"
233,4781,Conservative,"Evans, Dr Luke"
234,474,Conservative,"Evans, Mr Nigel"
235,1198,Conservative,"Evennett, Sir David"
236,4836,Conservative,"Everitt, Ben"
237,280,Conservative,"Fabricant, Michael"
238,88,Conservative,"Fallon, Sir Michael"
239,1436,Labour,"Farrelly, Paul"
240,4826,Conservative,"Farris, Laura"
241,1591,Liberal Democrat,"Farron, Tim"
242,4856,Alliance,"Farry, Stephen"
243,4744,Conservative,"Fell, Simon"
244,4440,Scottish National Party,"Fellows, Marion"
245,4386,Independent,"Ferrier, Margaret"
246,1405,Conservative,"Field, Mark"
247,4823,Sinn Féin,"Finucane, John"
248,4936,Conservative,"Firth, Anna"
249,197,Labour,"Fitzpatrick, Jim"
250,4378,Labour,"Fletcher, Colleen"
251,4834,Conservative,"Fletcher, Katherine"
252,4774,Conservative,"Fletcher, Mark"
253,4832,Conservative,"Fletcher, Nick"
254,389,Labour,"Flint, Caroline"
255,4735,Scottish National Party,"Flynn, Stephen"
256,4942,Liberal Democrat,"Foord, Richard"
257,4717,Labour,"Forbes, Ms Lisa"
258,4674,Conservative,"Ford, Vicky"
259,4451,Conservative,"Foster, Kevin"
260,4034,Labour,"Fovargue, Yvonne"
261,223,Conservative,"Fox, Sir Liam"
262,4491,Labour,"Foxcroft, Vicky"
263,4753,Labour,"Foy, Mary Kelly"
264,1444,Conservative,"Francois, Mr Mark"
265,4517,Conservative,"Frazer, Lucy"
266,4020,Conservative,"Freeman, George"
267,4004,Conservative,"Freer, Mike"
268,4932,Conservative,"French, Mr Louie"
269,4637,Labour,"Frith, Mr James"
270,3912,Conservative,"Fuller, Richard"
271,4571,Labour,"Furniss, Gill"
272,4446,Conservative,"Fysh, Mr Marcus"
273,4614,Labour,"Gaffney, Hugh"
274,87,Conservative,"Gale, Sir Roger"
275,609,Workers Party of Britain,"Galloway, George"
276,184,The Independent Group for Change,"Gapes, Mike"
277,146,Labour,"Gardiner, Barry"
278,4074,Conservative,"Garnier, Mark"
279,1529,Independent,"Gauke, Mr David"
280,4662,Labour,"George, Ruth"
281,4434,Scottish National Party,"Gethins, Stephen"
282,4460,Conservative,"Ghani, Ms Nusrat"
283,111,Conservative,"Gibb, Nick"
284,4435,Scottish National Party,"Gibson, Patricia"
285,4754,Conservative,"Gibson, Peter"
286,4817,Conservative,"Gideon, Jo"
287,1416,Sinn Féin,"Gildernew, Michelle"
288,4603,Labour (Co-op),"Gill, Preet Kaur"
289,18,Conservative,"Gillan, Dame Cheryl"
290,4633,Democratic Unionist Party,"Girvan, Paul"
291,4051,Conservative,"Glen, John"
292,4126,Labour,"Glindon, Mary"
293,304,Labour,"Godsiff, Mr Roger"
294,1484,Labour,"Goodman, Helen"
295,1562,Conservative,"Goodwill, Sir Robert"
296,1571,Conservative,"Gove, Michael"
297,4432,Scottish National Party,"Grady, Patrick"
298,4622,Conservative,"Graham, Luke"
299,3990,Conservative,"Graham, Richard"
300,4605,Conservative,"Grant, Bill"
301,4018,Conservative,"Grant, Helen"
302,4466,Scottish National Party,"Grant, Peter"
303,261,Conservative,"Gray, James"
304,4365,Scottish National Party,"Gray, Neil"
305,1413,Conservative,"Grayling, Chris"
306,4398,Conservative,"Green, Chris"
307,76,Conservative,"Green, Damian"
308,4120,Labour,"Green, Kate"
309,4918,Liberal Democrat,"Green, Sarah"
310,1555,Independent,"Greening, Justine"
311,4029,Labour,"Greenwood, Lilian"
312,4400,Labour,"Greenwood, Margaret"
313,16,Independent,"Grieve, Mr Dominic"
314,4874,Conservative,"Griffith, Andrew"
315,1541,Labour,"Griffith, Dame Nia"
316,3936,Conservative,"Griffiths, Andrew"
317,382,Labour,"Grogan, John"
318,4843,Conservative,"Grundy, James"
319,4814,Conservative,"Gullis, Jonathan"
320,1506,Labour (Co-op),"Gwynne, Andrew"
321,3980,Liberal Democrat,"Gyimah, Mr Sam"
322,4473,Labour,"Haigh, Louise"
323,4675,Conservative,"Hair, Kirstene"
324,3985,Conservative,"Halfon, Robert"
325,4450,Conservative,"Hall, Luke"
326,415,Labour,"Hamilton, Fabian"
327,4938,Labour,"Hamilton, Paulette"
328,1585,Conservative,"Hammond, Stephen"
329,4070,Conservative,"Hancock, Matt"
330,1526,Conservative,"Hands, Greg"
331,4827,Social Democratic & Labour Party,"Hanna, Claire"
332,4782,Alba Party,"Hanvey, Neale"
333,4645,Labour,"Hardy, Emma"
334,150,Labour,"Harman, Ms Harriet"
335,1520,Conservative,"Harper, Mr Mark"
336,4480,Labour,"Harris, Carolyn"
337,3948,Conservative,"Harris, Rebecca"
338,4593,Conservative,"Harrison, Trudy"
339,4842,Conservative,"Hart, Sally-Ann"
340,3944,Conservative,"Hart, Simon"
341,4510,Labour,"Hayes, Helen"
342,350,Conservative,"Hayes, Sir John"
343,4636,Sinn Féin,"Hazzard, Chris"
344,69,Conservative,"Heald, Sir Oliver"
345,400,Labour,"Healey, John"
346,4528,Conservative,"Heappey, James"
347,3977,Conservative,"Heaton-Harris, Chris"
348,4524,Conservative,"Heaton-Jones, Peter"
349,4050,Conservative,"Henderson, Gordon"
350,473,Labour (Co-op),"Hendrick, Sir Mark"
351,4467,Scottish National Party,"Hendry, Drew"
352,4794,Conservative,"Henry, Darren"
353,520,Independent,"Hepburn, Mr Stephen"
354,1437,Independent,"Hermon, Lady"
355,4833,Conservative,"Higginbotham, Antony"
356,4644,Labour,"Hill, Mike"
357,1524,Labour (Co-op),"Hillier, Dame Meg"
358,3969,Conservative,"Hinds, Damian"
359,4494,Conservative,"Hoare, Simon"
